Year,Western_Champion,Eastern_Champion,Result,NBA_Champion,NBA-Vice-Champion,Final_Sweep_Status,MVP_Name,MVP_Height (m),MVP_Height (ft),MVP_Position,MVP_Team,MVP_Nationality,MVP_status
1950,Minneapolis Lakers,Syracuse Nationals,4–2,Minneapolis Lakers,Syracuse Nationals,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1951,Rochester Royals,New York Knicks,4–3,Rochester Royals,New York Knicks,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1952,Minneapolis Lakers,New York Knicks,4–3,Minneapolis Lakers,New York Knicks,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1953,Minneapolis Lakers,New York Knicks,4–1,Minneapolis Lakers,New York Knicks,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1954,Minneapolis Lakers,Syracuse Nationals,4–3,Minneapolis Lakers,Syracuse Nationals,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1955,Fort Wayne Pistons,Syracuse Nationals,3–4,Syracuse Nationals,Fort Wayne Pistons,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1956,Fort Wayne Pistons,Philadelphia Warriors,1–4,Philadelphia Warriors,Fort Wayne Pistons,FALSE,Bob Pettit,2.06,6.76,Forward,Saint Louis Hawks,US,Not reached Final
1957,St. Louis Hawks,Boston Celtics,3–4,Boston Celtics,St. Louis Hawks,FALSE,Bob Cousy,1.85,6.07,Guard,Boston Celtics,US,Champion
1958,St. Louis Hawks,Boston Celtics,4–2,St. Louis Hawks,Boston Celtics,FALSE,Bill Russell,2.08,6.82,Center,Boston Celtics,US,Vice-Champion
1959,Minneapolis Lakers,Boston Celtics,0–4,Boston Celtics,Minneapolis Lakers,TRUE,Bob Pettit,2.06,6.76,Forward,Saint Louis Hawks,US,Not reached Final
1960,St. Louis Hawks,Boston Celtics,3–4,Boston Celtics,St. Louis Hawks,FALSE,Wilt Chamberlain,2.16,7.09,Center,Philadelphia Warriors,US,Not reached Final
1961,St. Louis Hawks,Boston Celtics,1–4,Boston Celtics,St. Louis Hawks,FALSE,Bill Russell,2.08,6.82,Center,Boston Celtics,US,Champion
1962,Los Angeles Lakers,Boston Celtics,3–4,Boston Celtics,Los Angeles Lakers,FALSE,Bill Russell,2.08,6.82,Center,Boston Celtics,US,Champion
1963,Los Angeles Lakers,Boston Celtics,2–4,Boston Celtics,Los Angeles Lakers,FALSE,Bill Russell,2.08,6.82,Center,Boston Celtics,US,Champion
1964,San Francisco Warriors,Boston Celtics,1–4,Boston Celtics,San Francisco Warriors,FALSE,Oscar Robertson,1.96,6.43,Guard,Cincinnati Royals,US,Not reached Final
1965,Los Angeles Lakers,Boston Celtics,1–4,Boston Celtics,Los Angeles Lakers,FALSE,Bill Russell,2.08,6.82,Center,Boston Celtics,US,Champion
1966,Los Angeles Lakers,Boston Celtics,3–4,Boston Celtics,Los Angeles Lakers,FALSE,Wilt Chamberlain,2.16,7.09,Center,Philadelphia 76ers,US,Not reached Final
1967,San Francisco Warriors,Philadelphia 76ers,2–4,Philadelphia 76ers,San Francisco Warriors,FALSE,Wilt Chamberlain,2.16,7.09,Center,Philadelphia 76ers,US,Champion
1968,Los Angeles Lakers,Boston Celtics,2–4,Boston Celtics,Los Angeles Lakers,FALSE,Wilt Chamberlain,2.16,7.09,Center,Philadelphia 76ers,US,Not reached Final
1969,Los Angeles Lakers,Boston Celtics,3–4,Boston Celtics,Los Angeles Lakers,FALSE,Wes Unseld,2.01,6.59,Center,Baltimore Bullets,US,Not reached Final
1970,Los Angeles Lakers,New York Knicks,3–4,New York Knicks,Los Angeles Lakers,FALSE,Willis Reed,2.06,6.76,Center,New York Knicks,US,Champion
1971,Milwaukee Bucks,Baltimore Bullets,4–0,Milwaukee Bucks,Baltimore Bullets,TRUE,Kareem Abdul-Jabbar,2.18,7.15,Center,Milwaukee Bucks,US,Champion
1972,Los Angeles Lakers,New York Knicks,4–1,Los Angeles Lakers,New York Knicks,FALSE,Kareem Abdul-Jabbar,2.18,7.15,Center,Milwaukee Bucks,US,Not reached Final
1973,Los Angeles Lakers,New York Knicks,1–4,New York Knicks,Los Angeles Lakers,FALSE,Dave Cowens,2.06,6.76,Center,Boston Celtics,US,Not reached Final
